
Bank/Algorithm: TPM_ALG_SHA1(0x0004)
PCR_00: 89 db ba 2e 00 ea dc a5 a0 d9 63 c8 e8 4b 62 85 a8 fd 02 d7
PCR_01: fc 81 2c bf 28 df 9b fa 93 51 b0 90 cf 3a de 08 2f 52 3f 2d
PCR_02: b2 a8 3b 0e bf 2f 83 74 29 9a 5b 2b df c3 1e a9 55 ad 72 36
PCR_03: b2 a8 3b 0e bf 2f 83 74 29 9a 5b 2b df c3 1e a9 55 ad 72 36
PCR_04: 3d 1d 46 e3 86 5d fd a8 2b 12 6f 78 4c 6d 05 e2 23 a5 65 17
PCR_05: 94 3a 65 0b 7e d7 4c 9e 43 a1 b1 41 b4 e3 ca e9 c8 ca ce d2
PCR_06: b2 a8 3b 0e bf 2f 83 74 29 9a 5b 2b df c3 1e a9 55 ad 72 36
PCR_07: a9 26 75 8b c8 f3 d9 50 9a de 24 0b 3c 75 b6 e1 9c 08 29 51
PCR_08: ec 73 10 0e fe 70 9b 0c 74 ef a2 ed 34 9d c3 4f 78 b0 11 1c
PCR_09: be ba 7b e9 77 04 ee 91 ee 37 5b cf 9a a8 06 28 5a 58 c8 2e
PCR_10: 0c b6 63 bf ba f0 0e ca 56 9c c3 a7 08 28 b8 a8 fa 80 6b 2a
PCR_11: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
PCR_12: c0 c0 83 fe 87 c2 6b 0d 35 f2 74 d9 44 10 4c b0 29 65 8c e3
PCR_13: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
PCR_14: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
PCR_15: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
PCR_16: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
PCR_17: ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff
PCR_18: ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff
PCR_19: ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff
PCR_20: ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff
PCR_21: ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff
PCR_22: ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff
PCR_23: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00

Bank/Algorithm: TPM_ALG_SHA256(0x000b)
PCR_00: 2c 89 0a 9d 73 81 7f f5 ff 85 09 09 ce f0 2d 8e 23 39 f1 b7 27 d7 16 74 f1 96 a7 fa bc 8d 2a 3e
PCR_01: a0 7b d4 be 1c bf ed 25 34 67 ac 62 70 b9 5b 26 16 f0 81 98 df 8d 92 77 5e 01 42 83 9c 34 b8 30
PCR_02: 3d 45 8c fe 55 cc 03 ea 1f 44 3f 15 62 be ec 8d f5 1c 75 e1 4a 9f cf 9a 72 34 a1 3f 19 8e 79 69
PCR_03: 3d 45 8c fe 55 cc 03 ea 1f 44 3f 15 62 be ec 8d f5 1c 75 e1 4a 9f cf 9a 72 34 a1 3f 19 8e 79 69
PCR_04: 36 31 d4 15 66 5d f2 d9 4a a9 57 06 c8 e9 78 7f 26 0d b9 b1 ab 02 1c ba b7 ea f3 65 ba f6 13 64
PCR_05: d5 75 87 2a 40 5f 4e c7 7a 6e 18 c7 e8 e8 30 a8 6a 83 6a 99 89 d4 b2 d2 49 ec 75 df df 36 2f 11
PCR_06: 3d 45 8c fe 55 cc 03 ea 1f 44 3f 15 62 be ec 8d f5 1c 75 e1 4a 9f cf 9a 72 34 a1 3f 19 8e 79 69
PCR_07: 4a 1e 9f 5f b8 51 79 10 1c a3 95 f1 56 c4 dd 7a 4f 9b c4 d6 59 ca 2b 9e 4f e2 31 69 21 a4 df 1f
PCR_08: bb e6 d0 c4 fe cf 88 f6 05 e8 d1 38 4d a1 ba aa a9 1b 51 d7 86 b0 a7 68 30 c4 b4 cf 0e fa 0b 69
PCR_09: 24 f5 5b da 38 de 61 75 57 7b ef d4 46 0a 32 c3 cb 77 32 aa f4 ac ba 6f 6a 83 9d b8 f0 1c 93 50
PCR_10: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
PCR_11: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
PCR_12: f3 d5 c2 b7 4d 02 6d 22 0c 73 d1 bc e2 4f c6 22 27 3c 13 20 10 54 83 01 c3 99 22 92 be 42 96 91
PCR_13: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
PCR_14: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
PCR_15: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
PCR_16: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
PCR_17: ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff
